Hg,Hi,Hm,Hp,He,Ib,Ir,It,|Ka|
10 ,20 ,250 ,15 ,15 ,16.6773 ,7.4676 ,18.7020 ,2.0247 
100 ,20 ,250 ,15 ,15 ,17.8965 ,5.4094 ,19.3985 ,1.5021 
20 ,20 ,250 ,15 ,15 ,16.7588 ,6.9779 ,19.0088 ,2.2500 
30 ,20 ,250 ,15 ,15 ,16.9277 ,6.4231 ,19.3390 ,2.4112 
40 ,20 ,250 ,15 ,15 ,17.1041 ,5.9320 ,19.6093 ,2.5052 
50 ,20 ,250 ,15 ,15 ,17.2847 ,5.5235 ,19.8074 ,2.5227 
60 ,20 ,250 ,15 ,15 ,17.4560 ,5.2409 ,19.9067 ,2.4507 
70 ,20 ,250 ,15 ,15 ,17.6126 ,5.0926 ,19.9040 ,2.2914 
80 ,20 ,250 ,15 ,15 ,17.7419 ,5.0798 ,19.8087 ,2.0669 
90 ,20 ,250 ,15 ,15 ,17.8394 ,5.1972 ,19.6281 ,1.7887 
10 ,20 ,160 ,15 ,15 ,17.3385 ,9.7173 ,16.7803 ,0.5582 
100 ,20 ,160 ,15 ,15 ,19.5349 ,6.6648 ,17.5034 ,2.0315 
20 ,20 ,160 ,15 ,15 ,17.6812 ,9.0635 ,17.0397 ,0.6415 
30 ,20 ,160 ,15 ,15 ,18.0267 ,8.4323 ,17.2783 ,0.7484 
40 ,20 ,160 ,15 ,15 ,18.3691 ,7.8423 ,17.4858 ,0.8833 
50 ,20 ,160 ,15 ,15 ,18.6845 ,7.3481 ,17.6369 ,1.0477 
60 ,20 ,160 ,15 ,15 ,18.9666 ,6.9615 ,17.7267 ,1.2399 
70 ,20 ,160 ,15 ,15 ,19.1974 ,6.7027 ,17.7523 ,1.4451 
80 ,20 ,160 ,15 ,15 ,19.3730 ,6.5742 ,17.7150 ,1.6580 
90 ,20 ,160 ,15 ,15 ,19.4861 ,6.5634 ,17.6300 ,1.8562 
10 ,20 ,170 ,15 ,15 ,17.6885 ,9.0575 ,15.7687 ,1.9198 
100 ,20 ,170 ,15 ,15 ,19.4724 ,6.1514 ,16.7023 ,2.7701 
20 ,20 ,170 ,15 ,15 ,17.8170 ,8.5827 ,16.0102 ,1.8068 
30 ,20 ,170 ,15 ,15 ,18.1250 ,7.9487 ,16.2726 ,1.8524 
40 ,20 ,170 ,15 ,15 ,18.4235 ,7.3678 ,16.5045 ,1.9190 
50 ,20 ,170 ,15 ,15 ,18.7069 ,6.8577 ,16.6962 ,2.0107 
60 ,20 ,170 ,15 ,15 ,18.9565 ,6.4633 ,16.8246 ,2.1319 
70 ,20 ,170 ,15 ,15 ,19.1664 ,6.1942 ,16.8856 ,2.2808 
80 ,20 ,170 ,15 ,15 ,19.3249 ,6.0575 ,16.8803 ,2.4446 
90 ,20 ,170 ,15 ,15 ,19.4283 ,6.0520 ,16.8119 ,2.6164 
10 ,20 ,180 ,15 ,15 ,17.5494 ,8.9606 ,17.3731 ,0.1763 
100 ,20 ,180 ,15 ,15 ,19.3749 ,6.0001 ,18.3789 ,0.9960 
20 ,20 ,180 ,15 ,15 ,17.8243 ,8.3100 ,17.6980 ,0.1263 
30 ,20 ,180 ,15 ,15 ,18.1044 ,7.6812 ,18.0006 ,0.1038 
40 ,20 ,180 ,15 ,15 ,18.3852 ,7.0931 ,18.2686 ,0.1167 
