Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
40,20,250,30,20,17.0099,5.9196,17.6057,17.2242,5.7894,17.6646
60,60,250,35,20,17.5844,6.2896,16.211,17.6663,6.1868,16.3644
100,30,210,35,35,17.5066,6.3488,15.8291,17.5087,6.3783,16.1695
50,20,250,35,20,17.1853,5.7411,17.126,17.4238,5.739,17.2601
40,60,160,15,15,18.6974,7.827,16.8904,18.7152,7.596,16.6593
20,30,250,25,30,16.1659,6.7945,19.5859,16.2472,6.8574,19.3282
10,20,240,25,20,16.7818,7.2947,18.4329,16.717,7.0285,18.1943
10,20,230,20,30,16.5139,7.7493,19.0211,16.3996,7.4405,18.848
60,20,180,35,30,18.3239,6.1111,15.4893,18.4722,6.1699,15.8367
70,30,250,20,15,17.7445,5.0005,19.2244,17.8276,5.2028,19.287
30,20,160,30,25,18.1103,7.9768,15.0223,18.0584,7.7536,15.3113
30,60,250,20,30,16.7021,6.7374,19.5692,16.5832,6.9295,19.3849
60,20,180,30,25,18.5979,6.1505,16.2994,18.7853,6.0634,16.6082
100,30,250,30,15,17.8452,5.6722,17.6284,17.9436,5.4931,17.9762
20,60,250,30,25,16.9569,7.0701,18.6025,16.9849,7.1273,18.4831
80,40,160,15,25,18.9534,6.6448,16.9218,18.8017,6.7378,17.2162
40,20,250,25,35,15.9526,6.4985,18.5479,16.2474,6.3836,18.8648
100,30,160,25,25,18.9492,6.796,15.8403,18.7533,6.6469,15.8584
40,50,250,30,35,16.3744,6.9049,17.2979,16.3338,6.7931,17.6363
20,30,250,25,15,16.996,6.2495,18.2574,17.1036,6.2675,18.4068
70,40,250,30,30,16.9136,6.0695,18.9776,16.8806,6.112,18.6955
50,30,250,15,20,17.2242,5.473,19.3186,17.2465,5.5128,19.4049
40,30,250,15,35,16.0645,6.3143,19.6506,16.2213,6.3205,19.8542
80,40,160,35,30,18.3924,6.9785,14.59,18.2572,7.0542,14.8846
60,60,250,30,20,17.6068,6.1946,16.7342,17.6899,6.0328,16.9086
50,20,160,20,25,18.4918,7.3449,16.2513,18.4084,7.1647,16.5805
20,50,250,35,25,16.8654,6.9973,18.2518,16.9163,6.9701,18.1938
20,20,250,35,25,16.4432,6.7052,18.9699,16.5578,6.7323,18.6921
20,50,250,35,30,16.522,7.1473,17.9477,16.5633,7.1007,17.8171
40,60,160,25,20,18.4921,8.0004,15.5603,18.5261,7.8976,15.3709
40,30,160,30,25,18.4225,7.5646,15.1081,18.3571,7.2761,15.312
20,50,160,35,15,18.3827,8.3435,14.7693,18.2485,8.0756,14.5965
100,30,160,15,25,19.0876,6.7015,16.8434,18.9268,6.6227,17.1107
10,20,180,35,20,17.849,7.8013,15.4316,17.9035,7.6769,15.1098
50,60,250,35,30,16.8827,6.9981,17.7018,16.9458,6.8767,17.5539
20,20,250,35,30,16.0774,6.9628,18.5403,16.1837,6.8742,18.2966
30,60,210,35,25,17.799,7.2901,16.8305,17.7833,7.0437,16.5242
10,20,230,35,30,16.5845,7.2236,17.7443,16.4293,7.1306,17.5986
10,40,250,35,30,16.2533,7.0719,18.2161,16.2946,6.9714,18.0641
80,30,250,25,20,17.6031,5.538,18.0348,17.6154,5.3267,18.3173
60,50,250,35,15,17.8015,5.8716,16.7941,17.7674,5.7498,16.9513
80,30,250,30,15,17.826,5.4048,17.8667,17.8976,5.359,18.1439
30,60,220,35,20,17.9393,7.0906,16.3124,17.8559,6.847,15.9872
30,50,160,25,35,17.6522,8.4792,15.8697,17.7,8.1955,15.6043
50,50,160,35,30,18.1261,7.749,14.2158,18.0351,7.7381,14.5413
40,50,250,35,35,16.3696,6.9848,16.6558,16.4381,6.9312,17.0056
20,40,250,30,25,16.7099,6.5648,19.3239,16.726,6.7149,19.0182
100,20,160,15,25,19.1874,6.7652,16.7859,18.903,6.6778,17.1226
50,40,160,30,20,18.775,7.34,15.4244,18.7671,7.2101,15.1559
50,30,250,35,30,16.6378,6.3382,18.5941,16.7037,6.2953,18.2473
70,60,250,30,20,17.6184,6.0832,16.7758,17.6961,5.9203,16.9438
20,40,160,15,25,17.886,8.4475,16.2787,17.8365,8.3771,16.6067
80,20,250,35,35,16.4011,6.2166,17.3816,16.5355,6.3807,17.6786
10,20,250,35,30,15.9713,7.2293,18.4127,16.0449,7.0326,18.2706
100,40,170,25,15,19.0563,6.3057,15.6998,19.0135,6.1848,15.9821
70,50,250,30,20,17.6259,5.8801,17.0114,17.6757,5.614,17.1781
10,50,160,30,35,17.3254,8.926,15.156,17.4593,8.6112,14.9267
90,40,250,35,20,17.5825,5.8789,16.6004,17.6777,5.8538,16.7896
60,30,250,30,15,17.656,5.4508,17.9593,17.6662,5.437,18.1262
50,40,250,30,25,17.1118,6.1719,19.3465,17.0507,6.1557,19.0275
70,20,250,20,20,17.4037,5.3964,18.8061,17.4829,5.244,18.9267
80,30,180,35,25,18.6743,5.9205,15.813,18.7367,6.0554,16.1122
40,40,160,25,20,18.6254,7.5269,15.8932,18.6497,7.4577,15.5815
20,30,250,30,30,16.2143,6.6931,19.0658,16.2522,6.8152,18.7921
90,30,170,25,20,19.1157,6.358,15.4079,19.025,6.1641,15.6946
80,50,250,35,15,17.8313,5.7238,16.8263,17.8235,5.6964,17.0619
40,40,160,35,20,18.6125,7.8023,14.7482,18.6134,7.5373,14.686
60,30,250,15,35,16.3487,5.8313,19.8139,16.5485,5.9228,19.972
100,20,180,35,30,18.4757,6.2477,15.3968,18.474,6.3103,15.6649
40,50,160,25,25,18.3658,7.8752,15.3119,18.2456,7.6856,15.6497
30,20,250,25,15,17.0166,6.162,18.3804,17.232,6.0299,18.4997
70,40,250,25,15,17.8283,5.317,18.2991,17.8394,5.2333,18.5171
80,40,250,15,35,16.626,5.7794,19.5271,16.6047,5.8472,19.7278
60,20,160,35,15,19.1424,6.6754,15.6289,19.0271,6.5733,15.3496
50,40,250,25,15,17.6197,5.5664,18.2765,17.5858,5.5334,18.4244
90,30,250,30,15,17.8533,5.5503,17.7311,17.947,5.4266,18.0625
50,20,250,20,20,17.1034,5.7206,18.7616,17.2347,5.5594,18.8492
10,20,190,25,30,17.1465,8.2782,17.0482,17.1253,7.9406,16.7607
80,30,250,20,20,17.6046,5.3529,18.6078,17.623,5.2313,18.8967
60,40,160,35,20,18.8547,7.2375,15.036,18.7715,7.136,14.7258
30,60,200,15,35,17.2222,7.4623,18.2867,17.1866,7.2586,17.9494
70,30,250,30,30,16.8384,5.9214,19.2411,16.8526,6.0731,18.8917
90,60,250,15,15,17.8833,5.4372,19.0332,17.9228,5.3355,19.1932
