,hglass,hito,hmapbi3,hpcbm,hpedot,It,Ib,IS,IE,eta,dup_num
0,94,15,222,11,10,19.43,20.9,20.17,15.71,6.0%,1
1,96,20,221,10,10,19.7,20.58,20.14,15.68,5.9%,1
2,91,15,222,12,10,19.35,20.89,20.12,15.67,5.8%,2
3,78,15,213,10,10,20.12,20.96,20.54,15.99,8.0%,2
4,94,17,220,10,10,19.6,20.8,20.2,15.73,6.2%,1
5,80,15,214,10,10,19.97,20.96,20.47,15.94,7.6%,4
6,71,15,219,14,10,19.63,20.77,20.2,15.73,6.2%,1
7,96,24,222,10,10,19.64,20.28,19.96,15.54,4.9%,5
8,74,19,211,10,10,19.73,20.67,20.2,15.73,6.2%,1
9,100,15,212,10,14,19.34,20.74,20.04,15.6,5.4%,1
10,95,15,220,10,10,19.79,20.94,20.37,15.86,7.1%,2
11,90,25,220,10,10,20.06,20.35,20.2,15.73,6.2%,1
12,100,24,222,10,10,19.57,20.28,19.92,15.51,4.7%,18
13,96,16,221,10,10,19.54,20.86,20.2,15.73,6.2%,4
14,83,15,222,14,10,19.2,20.84,20.02,15.59,5.3%,1
15,84,16,218,11,10,19.97,20.86,20.41,15.89,7.3%,1
16,79,15,205,11,14,19.59,20.77,20.18,15.71,6.1%,1
17,98,15,219,10,11,19.76,20.88,20.32,15.82,6.8%,1
18,81,22,216,10,10,20.3,20.46,20.38,15.87,7.2%,1
19,77,15,212,10,10,19.48,20.96,20.22,15.74,6.3%,1
20,100,37,223,10,10,19.87,19.41,19.64,15.29,3.3%,2
21,88,24,222,14,12,19.83,20.09,19.96,15.54,4.9%,1
22,87,15,222,13,10,19.28,20.87,20.07,15.63,5.5%,1
23,96,15,221,14,13,19.38,20.65,20.01,15.58,5.2%,1
24,83,15,210,10,12,19.5,20.89,20.19,15.72,6.2%,2
25,94,15,231,16,10,19.18,20.72,19.95,15.53,4.9%,1
26,78,15,216,11,10,19.61,20.91,20.26,15.78,6.5%,1
27,90,15,218,10,10,20.13,20.97,20.55,16.0,8.0%,1
28,100,41,228,12,10,19.85,19.06,19.45,15.14,2.3%,1
29,82,15,223,15,10,19.7,20.82,20.26,15.78,6.5%,1
30,100,17,241,19,10,19.46,20.34,19.9,15.5,4.6%,1
31,76,15,220,14,10,19.49,20.82,20.15,15.69,5.9%,1
32,92,16,225,13,10,19.48,20.76,20.12,15.67,5.8%,1
33,80,15,221,14,10,19.35,20.84,20.09,15.64,5.6%,1
34,92,15,223,12,10,19.96,20.88,20.42,15.9,7.4%,1
35,87,15,224,14,10,19.65,20.83,20.24,15.76,6.4%,1
36,86,41,228,13,10,19.97,19.06,19.51,15.19,2.6%,1
37,97,15,221,10,10,19.62,20.93,20.27,15.78,6.6%,3
38,85,15,216,10,10,19.67,20.97,20.32,15.82,6.8%,1
39,77,15,222,15,10,19.12,20.79,19.96,15.54,4.9%,1
40,79,15,213,10,10,20.11,20.97,20.54,15.99,8.0%,1
41,89,15,221,12,10,19.5,20.9,20.2,15.73,6.2%,1
42,90,15,224,13,10,19.74,20.85,20.29,15.8,6.7%,1
43,91,25,222,11,10,19.51,20.2,19.86,15.46,4.4%,1
44,85,24,222,12,10,19.57,20.24,19.9,15.5,4.6%,1
45,91,42,228,12,10,19.92,19.01,19.47,15.16,2.4%,1
46,82,15,215,10,10,19.58,20.96,20.27,15.78,6.6%,4
47,90,15,222,12,10,19.36,20.89,20.13,15.67,5.8%,1
48,87,15,242,23,10,18.53,20.46,19.5,15.18,2.5%,1
49,100,15,211,15,18,18.98,20.39,19.68,15.32,3.5%,1
50,96,32,232,14,10,19.86,19.52,19.69,15.33,3.5%,1
51,76,15,211,10,10,19.6,20.97,20.29,15.8,6.7%,2
52,96,17,221,10,10,20.2,20.78,20.49,15.95,7.7%,3
53,84,15,221,13,10,19.44,20.87,20.15,15.69,5.9%,1
54,93,15,219,10,10,19.95,20.96,20.45,15.92,7.5%,1
55,82,23,222,13,10,19.57,20.29,19.93,15.52,4.8%,1
56,93,15,221,11,10,19.95,20.96,20.45,15.92,7.5%,1
57,78,20,223,15,10,19.75,20.44,20.1,15.65,5.7%,1
58,90,15,221,16,13,19.22,20.64,19.93,15.52,4.8%,1
59,92,15,221,11,10,19.59,20.92,20.25,15.77,6.5%,1
